tag,step,value
val_RMSE/diurnal_sin,74455,0.0602006
val_RMSE/diurnal_sin,74909,0.372259
val_RMSE/diurnal_sin,75363,0.0471076
val_RMSE/diurnal_sin,75817,0.0743163
val_RMSE/diurnal_sin,76271,0.0422991
val_RMSE/diurnal_sin,76725,0.0439007
val_RMSE/diurnal_sin,77179,0.0444997
val_RMSE/diurnal_sin,77633,0.29808
val_RMSE/diurnal_sin,78087,0.0417843
val_RMSE/diurnal_sin,78541,0.653936
val_RMSE/diurnal_sin,78995,0.0564499
val_RMSE/diurnal_sin,79449,0.0415534
val_RMSE/diurnal_sin,79903,0.0411195
val_RMSE/diurnal_sin,80357,0.0452152
val_RMSE/diurnal_sin,80811,0.0576844
